,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
S96NR3FP//D59-43,0.533,0.694,0.0,0.409,40.266,-3.178
S98JDOV2//D59-44,0.533,0.694,0.0,0.409,40.266,-3.177
S9B6FE4T//D59-45,0.533,0.565,0.0,0.366,40.267,-3.176
S9C9TIPU//D59-46,0.533,0.694,0.0,0.409,40.267,-3.175
S9EKF18O//D59-47,0.533,0.668,0.0,0.4,40.267,-3.174
S9G9AN83//D59-48,0.533,0.668,0.0,0.4,40.268,-3.173
S9GNI37M//D59-49,0.533,0.668,0.0,0.4,40.268,-3.173
S9H009WP//D59-48-1,0.465,0.542,0.0,0.336,40.268,-3.173
S9HK78CL//D59-48-2,0.465,0.567,0.0,0.344,40.268,-3.172
S9IG4WEF//D59-50,0.533,0.694,0.0,0.409,40.268,-3.172
S9JAJQF3//D59-48-3,0.465,0.567,0.0,0.344,40.268,-3.171
S9K78VHR//D59-51,0.533,0.694,0.0,0.409,40.268,-3.171
S9L5EWSE//D59-48-4,0.465,0.567,0.0,0.344,40.269,-3.17
S9M5TB4P//D59-52,0.533,0.668,0.0,0.4,40.268,-3.17
S9MNRWGQ//D59-48-5,0.465,0.567,0.0,0.344,40.269,-3.17
S9ODF1BO//D59-53,0.533,0.694,0.0,0.409,40.267,-3.169
S9OEVVL6//D59-48-6,0.465,0.567,0.0,0.344,40.269,-3.169
S9PP31O3//D59-48-7,0.465,0.567,0.0,0.344,40.269,-3.168
S9QN92WJ//D59-48-8,0.465,0.412,0.0,0.293,40.269,-3.167
S9R185I1//D59-54,0.533,0.668,0.0,0.4,40.267,-3.167
S9R5OS3P//D59-48-9,0.465,0.567,0.0,0.344,40.27,-3.167
S9SL4188//D59-55,0.533,0.668,0.0,0.4,40.267,-3.166
S9SVK89X//D59-48-10,0.465,0.567,0.0,0.344,40.27,-3.166
S9UVNI1O//D59-48-11,0.465,0.567,0.0,0.344,40.27,-3.165
S9VK4R87//D59-56,0.533,0.694,0.0,0.409,40.266,-3.165
S9WS1K4W//D59-57,0.533,0.668,0.0,0.4,40.266,-3.164
S9WVQRRJ//D59-48-12,0.465,0.567,0.0,0.344,40.271,-3.164
SA046O6W//D59-58,0.533,0.668,0.0,0.4,40.266,-3.163
SA0WLIL2//D59-48-13,0.465,0.567,0.0,0.344,40.271,-3.163
SA20IQMI//D59-59,0.533,0.694,0.0,0.409,40.266,-3.162
SA2M8LLM//D59-48-14,0.465,0.542,0.0,0.336,40.271,-3.162
SA3FW02P//D59-60,0.533,0.565,0.0,0.366,40.266,-3.162
SA4W2N0P//D59-48-15,0.165,0.336,0.0,0.167,40.271,-3.161
SA5L9D5K//D59-61,0.533,0.694,0.0,0.409,40.266,-3.16
SA715OGG//D59-62,0.533,0.668,0.0,0.4,40.266,-3.16
SA8L1K81//D59-63,0.533,0.668,0.0,0.4,40.266,-3.159
SA9A8AUC//D59-64,0.533,0.668,0.0,0.4,40.267,-3.159
SAA3VNQU//D59-63-1-CT,0.399,0.415,0.0,0.271,40.267,-3.158
