h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
-0.129,-0.132,-0.132,-0.135,-0.129,-0.125,-0.121,-0.106,-0.096,-0.091,-0.095,-0.096,-0.099,-0.099,-0.102,-0.103,-0.103,-0.096,-0.096,-0.101,-0.110,-0.113,-0.121,-0.122
-0.057,-0.058,-0.058,-0.059,-0.057,-0.055,-0.053,-0.048,-0.043,-0.041,-0.043,-0.043,-0.045,-0.045,-0.046,-0.046,-0.046,-0.043,-0.043,-0.045,-0.049,-0.050,-0.053,-0.054
-0.026,-0.027,-0.027,-0.027,-0.026,-0.026,-0.025,-0.022,-0.020,-0.019,-0.020,-0.020,-0.020,-0.020,-0.021,-0.021,-0.021,-0.020,-0.020,-0.021,-0.023,-0.023,-0.025,-0.025
0.022,0.023,0.023,0.024,0.022,0.022,0.021,0.018,0.016,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.016,0.016,0.017,0.018,0.019,0.021,0.021
-0.076,-0.078,-0.078,-0.080,-0.076,-0.074,-0.071,-0.063,-0.057,-0.054,-0.056,-0.057,-0.058,-0.059,-0.060,-0.061,-0.061,-0.057,-0.057,-0.060,-0.065,-0.067,-0.072,-0.072
-0.086,-0.088,-0.088,-0.090,-0.086,-0.084,-0.081,-0.072,-0.066,-0.063,-0.065,-0.066,-0.068,-0.068,-0.070,-0.070,-0.070,-0.066,-0.066,-0.069,-0.074,-0.076,-0.081,-0.082
-0.103,-0.105,-0.105,-0.107,-0.102,-0.100,-0.096,-0.084,-0.076,-0.072,-0.075,-0.076,-0.078,-0.079,-0.081,-0.082,-0.081,-0.076,-0.076,-0.080,-0.087,-0.090,-0.096,-0.097
0.049,0.051,0.051,0.052,0.049,0.048,0.046,0.041,0.037,0.034,0.036,0.036,0.038,0.038,0.039,0.039,0.039,0.037,0.037,0.039,0.042,0.043,0.046,0.047
-0.118,-0.121,-0.121,-0.123,-0.118,-0.115,-0.112,-0.100,-0.092,-0.088,-0.091,-0.092,-0.094,-0.094,-0.097,-0.098,-0.097,-0.091,-0.092,-0.096,-0.103,-0.105,-0.112,-0.113
-0.361,-0.368,-0.369,-0.376,-0.359,-0.351,-0.338,-0.301,-0.273,-0.260,-0.270,-0.273,-0.281,-0.281,-0.289,-0.293,-0.291,-0.272,-0.273,-0.286,-0.309,-0.318,-0.339,-0.343
-0.026,-0.026,-0.026,-0.027,-0.025,-0.025,-0.024,-0.021,-0.019,-0.018,-0.019,-0.019,-0.020,-0.020,-0.020,-0.020,-0.020,-0.019,-0.019,-0.020,-0.022,-0.022,-0.024,-0.024
0.023,0.023,0.023,0.024,0.022,0.022,0.021,0.018,0.016,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.016,0.017,0.018,0.019,0.020,0.021,0.021
0.175,0.178,0.179,0.182,0.174,0.170,0.164,0.147,0.135,0.128,0.133,0.134,0.138,0.138,0.142,0.143,0.142,0.134,0.134,0.140,0.151,0.155,0.165,0.166
-0.148,-0.151,-0.151,-0.154,-0.147,-0.144,-0.139,-0.125,-0.115,-0.109,-0.113,-0.114,-0.117,-0.118,-0.121,-0.122,-0.121,-0.114,-0.115,-0.120,-0.129,-0.132,-0.140,-0.141
-0.485,-0.495,-0.497,-0.505,-0.483,-0.472,-0.454,-0.404,-0.368,-0.350,-0.364,-0.367,-0.377,-0.378,-0.389,-0.393,-0.390,-0.364,-0.365,-0.382,-0.413,-0.425,-0.454,-0.461
0.460,0.470,0.471,0.479,0.458,0.448,0.432,0.385,0.351,0.334,0.347,0.350,0.360,0.361,0.371,0.375,0.372,0.348,0.349,0.365,0.395,0.406,0.432,0.438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
